Year,Ratio
1950,0.0595176666313164
1955,0.0376553669144081
1960,0.0337437813115091
1965,0.0331534218405587
1990,0.0200686428025402
1995,0.018780554946221
2000,0.018017294229324
2005,0.0167362261137888
2006,0.0161125124206986
2008,0.0166195245011849
2009,0.0167125803489439
2010,0.0160128928189838
2011,0.0159366802903678
2012,0.016304763069024
2013,0.0159468641914848
2014,0.0159586699575355
2015,0.0150266638667903
2016,0.0147438260228529
2017,0.0153853254765604
2018,0.0148185841390263
2019,0.0145451735064533
2020,0.0136705912621237
2021,0.0129799555948887
2022,0.0129142946268423
2023,0.0124949048380522
2024,0.0119231375019688
